Mod.;Porte;Saldo Médio (R$);;%Carteira;;NPL;
;;SFN;Simulado;SFN;Simulado;SFN; Simulado 
1;1;1.331;1.385;6,29%;6,26%;13,63%;10,42%
;2;1.964;2.082;2,23%;2,29%;11,47%;8,15%
;3;2.587;2.770;2,31%;2,46%;9,64%;7,32%
;4;4.696;4.996;1,78%;2,15%;7,48%;7,11%
;5;8.472;8.244;0,70%;1,05%;5,11%;5,28%
;6;42.388;19.291;0,27%;0,49%;2,44%;2,43%
2;1;816;819;36,48%;33,92%;7,75%;6,49%
;2;1.232;1.257;12,70%;12,42%;6,24%;5,25%
;3;1.701;1.694;14,27%;12,95%;4,30%;4,17%
;4;2.763;3.041;10,22%;11,21%;3,38%;3,87%
;5;4.612;5.332;4,20%;5,08%;2,18%;3,20%
;6;10.619;11.218;2,24%;2,58%;1,05%;1,77%
3;1;14.742;9.774;0,98%;1,86%;4,18%;3,83%
;2;15.884;15.352;0,83%;0,67%;3,61%;3,89%
;3;20.897;22.070;1,00%;0,73%;2,89%;2,37%
;4;28.106;27.470;0,64%;0,63%;2,03%;2,23%
;5;36.850;29.479;0,21%;0,29%;1,54%;0,85%
;6;56.290;32.441;0,09%;0,13%;0,96%;1,01%
4;1;72.806;43.468;1,18%;1,21%;2,91%;2,51%
;2;88.415;64.911;0,39%;0,42%;1,83%;2,17%
;3;103.631;87.561;0,37%;0,48%;1,25%;2,67%
;4;140.946;152.899;0,34%;0,41%;0,79%;1,33%
;5;202.270;261.119;0,18%;0,18%;0,50%;1,09%
;6;346.176;355.180;0,09%;0,11%;0,41%;0,00%
Total;;5391;5494;100,00%;100,00%;2,95%;2,88%
